#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;x
nomad_resettle_wilderness;Move Encampment;;;;;;;x
nomad_resettle_wilderness_desc;We cannot linger here. This land is empty, and will be a suitable place to encamp the host.;;;;;;;x
CB_NAME_NOMAD_WILDERNESS;Move Encampment to [Title.GetBaseName];Colonisation de [Title.GetBaseName];;;;;;x
WAR_NAME_NOMAD_WILDERNESS;$ORDER$$FIRST_ADJ$ Encampment in $OTHER_TITLE$;$ORDER$$FIRST_ADJ$ colonisé $OTHER_TITLE$;;;;;;x
CB_NAME_WILDERNESS;Settle in [Title.GetBaseName];Colonisation de [Title.GetBaseName];;;;;;x
WAR_NAME_WILDERNESS;$ORDER$$FIRST_ADJ$ Settlement of $OTHER_TITLE$;$ORDER$$FIRST_ADJ$ colonisé $OTHER_TITLE$;;;;;;x
CB_NAME_CLAIM;Attack [Title.GetBaseName];Attaque [Title.GetBaseName];;;;;;x
WAR_NAME_CLAIM;$ORDER$$FIRST_ADJ$ War for $OTHER_TITLE$;$ORDER$$FIRST_ADJ$ Guerre pour $OTHER_TITLE$;;;;;;x
CB_NAME_ORKISH;Orkish Invasion of [Title.GetBaseName];Invasion Orque de [Title.GetBaseName];;;;;;x
WAR_NAME_ORKISH;$ORDER$ Orkish Invasion of $OTHER_TITLE$;Invasion Orque de $OTHER_TITLE$;;;;;;x
orkish_invasion_desc;The time of the Orcs is coming! For too long Men, Elves and Dwarves have kept the best land for themselves. We shall take their territory and impose on the world our domination!;Le temps des Orques est arrivé ! Trop longtemps, les Hommes, les Elfes, les Nains ont possédé les meilleures terres. Il est temps maintenant de les prendre, et d'asseoir la domination de votre race sur le monde !;;;;;;x
evil_invasion;Evil Invasion;Invasion;;;;;;x
evil_invasion_desc;The time of Darkness is coming. I will conquer these lands!;;;;;;;x
good_invasion;Defend Middle Earth;;;;;;;x
good_invasion_desc;Darkness descends on Middle Earth, only the Children of Ilúvatar can stop it!;;;;;;;x
weaken_vassal_plot_desc;Weaken vassal;;;;;;;x
claim_on_vassal_plot_desc;Claim on vassal;;;;;;;x
claim_on_liege_plot_desc;Claim on liege;;;;;;;x
resistance_revolt_desc;Resistance uprising;;;;;;;x
CB_NAME_RESISTANCE_UPRISING;Resistance uprising;;;;;;;x
WAR_NAME_RESISTANCE_UPRISING;Resistance uprising;;;;;;;x
ring_conquest_desc;Ring conquest;;;;;;;x
cb_war_of_wrath_desc;The Aratar have decreed that it is time to cast Morgoth into the void.  Remove him from this throne and cast down the Thangorodrim.;;;;;;;x
cb_oath_of_feanor_desc;Fulfill the Oath and reclaim a Silmaril by force!;;;;;;;x
CB_NAME_OATH_OF_FEANOR;Reclaim Silmaril;;;;;;;x
WAR_NAME_OATH_OF_FEANOR;Reclamation of the Silmaril;;;;;;;x
WAR_NAME_WAR_OF_WRATH;The War of Wrath;;;;;;;x
powerful_vassal_takeover_war;War for Control of [Title.GetBaseName];;;;;;x
powerful_vassal_takeover_war_desc;Your liege is weak, and you hold more de facto power.  The majority of the realm has named you its true lord - it is time to overthrow your feeble lord.;;;;;;x
broken_siege_of_angband_tip;The gates of Angband are not held under siege;;;;;;;x
CB_NAME_DESTROY_KINGDOM;Destroy [Title.GetFullName];;;;;;;x
WAR_NAME_DESTROY_KINGDOM;Fall of [Title.GetBaseName];;;;;;;x
cb_destroy_kingdom_desc;Gather your legions and sack [Title.GetBaseName], destroying the realm and slaying its people!;;;;;;;x
CB_NAME_ABANDON_REALM_WILDERNESS;Flee to [Title.GetFullName];;;;;;;x
abandon_realm_resettle_wilderness_desc;Leave the realm to ruin, your high-level titles destroyed and your status lost. But your people will be safe from the encroaching danger in this new land.;;;;;;;x
WAR_NAME_ABANDON_REALM_WILDERNESS;Flight to [Title.GetBaseName];;;;;;;x
CB_NAME_SET_A_WATCH_ON_ANGBAND;Set a Watch on Angband;;;;;;;x
CB_DESC_SET_A_WATCH_ON_ANGBAND;Set a Watch on Angband;;;;;;;x
WAR_NAME_SET_A_WATCH_ON_ANGBAND;Siege of Angband ;;;;;;;x
cb_set_watch_on_angband_desc;March on Angband in force, shatter the armies of the Dark Lord on the field and set a watch on the gates of Angband. As soon as any foul creature attempts to leave the dark pits thenceforth, you will slay it ere it can organize with others. Achieving this encirclement will be no mean feat, however.;;;;;;;x
