#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
c_adan_aradan;Adan Aradan;Adan Aradan;Adan Aradan;;Adan Aradan;;;;;;;;;x
c_adan_aradan_adj;Adan Aradan;;Adan Aradaner;;;;;;;;;;;x
c_adurant;Adurant;Adurant;Adurant;;Adurant;;;;;;;;;x
c_adurant_adj;Adurantrim;;aduranter;;;;;;;;;;;x
c_aegnorardh;Aegnorardh;Aegnorardh;Aegnorardh;;Aegnorardh;;;;;;;;;x
c_aegnorardh_adj;Aegnorardhin;;aegnorardher;;;;;;;;;;;x
c_aelin_uial;Aelin-uial;Aelin-uial;Aelin-uial;;Aelin-uial;;;;;;;;;x
c_aelin_uial_adj;Aelin-uialin;;aelin-uialer;;;;;;;;;;;x
c_aeluin;Aeluin;Aeluin;Aeluin;;Aeluin;;;;;;;;;x
c_aeluin_adj;Tarn;;aeluiner;;;;;;;;;;;x
c_aglon_pass;Aglon Pass;Aglon Pass;Aglon Pass;;Aglon Pass;;;;;;;;;x
c_aglon_pass_adj;Pass;;Aglon Passer;;;;;;;;;;;x
c_alat_nortil;Alat-Nortil;Alat-Nortil;Alat-Nortil;;Alat-Nortil;;;;;;;;;x
c_alat_nortil_adj;Alat-Nortilin;;alat-nortiler;;;;;;;;;;;x
c_amon_darthir;Amon Darthir;Amon Darthir;Amon Darthir;;Amon Darthir;;;;;;;;;x
c_amon_darthir_adj;Amon Darthirim;;Amon Darthirer;;;;;;;;;;;x
c_amon_draug;Amon Draug;Amon Draug;Amon Draug;;Amon Draug;;;;;;;;;x
c_amon_draug_adj;Draugrim;;Amon Drauger;;;;;;;;;;;x
c_amon_ethir;Amon Ethir;Amon Ethir;Amon Ethir;;Amon Ethir;;;;;;;;;x
c_amon_ethir_adj;Amon Ethir;;Amon Ethirer;;;;;;;;;;;x
c_amon_obel;Amon Obel;Amon Obel;Amon Obel;;Amon Obel;;;;;;;;;x
c_amon_obel_adj;Amon Obelin;;Amon Obeler;;;;;;;;;;;x
c_amon_rudh;Amon Rûdh;Amon Rûdh;Amon Rûdh;;Amon Rûdh;;;;;;;;;x
c_amon_rudh_adj;Amon Rûdhrim;;Amon Rûdher;;;;;;;;;;;x
c_andiath;Andiath;Andiath;Andiath;;Andiath;;;;;;;;;x
c_andiath_adj;Andiathrim;;andiather;;;;;;;;;;;x
c_andram_annun;Andram-Annun;Andram-Annun;Andram-Annun;;Andram-Annun;;;;;;;;;x
c_andram_annun_adj;Andram-Annunrim;;andram-annuner;;;;;;;;;;;x
c_andram_rhuven;Andram-Rhuven;Andram-Rhuven;Andram-Rhuven;;Andram-Rhuven;;;;;;;;;x
c_andram_rhuven_adj;Andram-Rhuvenin;;andram-rhuvener;;;;;;;;;;;x
c_andrath;Andrath;Andrath;Andrath;;Andrath;;;;;;;;;x
c_andrath_adj;Andrathrim;;andrather;;;;;;;;;;;x
c_androth;Androth;Androth;Androth;;Androth;;;;;;;;;x
c_androth_adj;Androthrim;;androther;;;;;;;;;;;x
c_anfauglith_rhunen;Dor-nu-Fauglith;Anfauglith Rhûnen;Anfauglith Rhûnen;;Anfauglith Rhûnen;;;;;;;;;x
c_anfauglith_rhunen_adj;Anfauglithrim;;Anfauglith Rhûnener;;;;;;;;;;;x
c_angband;Angband;Angband;Angband;;Angband;;;;;;;;;x
c_angband_adj;Angbandim;;angbander;;;;;;;;;;;x
c_angorodin;Angorodin;Angorodin;Angorodin;;;;;;;;;;;x
c_angorodin_adj;Angorodim;Angorodim;Angorodim;;;;;;;;;;;x
c_angrodardh;Angrodardh;Angrodardh;Angrodardh;;Angrodardh;;;;;;;;;x
c_angrodardh_adj;Angrodardhin;;angrodardher;;;;;;;;;;;x
c_annon_in_gelydh;Annon-in-Gelydh;Annon-in-Gelydh;Annon-in-Gelydh;;Annon-in-Gelydh;;;;;;;;;x
c_annon_in_gelydh_adj;Annonrim;;annon-in-gelydher;;;;;;;;;;;x
c_annunland;Annunland;Annunland;Annunland;;Annunland;;;;;;;;;x
c_annunland_adj;Annunlandrim;;annunlander;;;;;;;;;;;x
c_ard_galen;Ard-Galen;Ard-Galen;Ard-Galen;;Ard-Galen;;;;;;;;;x
c_ard_galen_adj;Ard-Galenin;;ard-galener;;;;;;;;;;;x
c_arlisgion;Arlisgion;Arlisgion;Arlisgion;;Arlisgion;;;;;;;;;x
c_arlisgion_adj;Arlisgionrim;;arlisgioner;;;;;;;;;;;x
c_arossiach;Arossiach;Arossiach;Arossiach;;Arossiach;;;;;;;;;x
c_arossiach_adj;Arossiachrim;;arossiacher;;;;;;;;;;;x
c_artanor;Artanor;Artanor;Artanor;;Artanor;;;;;;;;;x
c_artanor_adj;Artanorim;;artanorer;;;;;;;;;;;x
c_arthorien;Arthórien;Arthórien;Arthórien;;Arthórien;;;;;;;;;x
c_arthorien_adj;Arthórienrim;;arthóriener;;;;;;;;;;;x
c_arvernien;Arvernien;Arvernien;Arvernien;;Arvernien;;;;;;;;;x
c_arvernien_adj;Arvernienrim;;arverniener;;;;;;;;;;;x
c_arvernien_rhuven;Arvernien Rhuven;Arvernien Rhuven;Arvernien Rhuven;;Arvernien Rhuven;;;;;;;;;x
c_arvernien_rhuven_adj;Arvernien Rhuven;;Arvernien Rhuvener;;;;;;;;;;;x
c_aryador;Aryador;Aryador;Aryador;;Aryador;;;;;;;;;x
c_aryador_adj;Aryadorim;;aryadorer;;;;;;;;;;;x
c_ascar;Ascar;Ascar;Ascar;;Ascar;;;;;;;;;x
c_ascar_adj;Ascarim;;ascarer;;;;;;;;;;;x
c_avandor;Avandor;Avandor;Avandor;;Avandor;;;;;;;;;x
c_avandor_adj;Avandorim;;avandorer;;;;;;;;;;;x
c_balar_niben;Balar Niben;Balar Niben;Balar Niben;;Balar Niben;;;;;;;;;x
c_balar_niben_adj;Balar Nibenrim;;Balar Nibener;;;;;;;;;;;x
c_bar_baran;Bar Baran;Bar Baran;Bar Baran;;Bar Baran;;;;;;;;;x
c_bar_baran_adj;Bar Baranrim;;Bar Baraner;;;;;;;;;;;x
c_bar_en_nibin_noeg;Bar-en-Nibin-noeg;Bar-en-Nibin-noeg;Bar-en-Nibin-noeg;;Bar-en-Nibin-noeg;;;;;;;;;x
c_bar_en_nibin_noeg_adj;Bar-en-Nibin-noeg;;bar-en-nibin-noeger;;;;;;;;;;;x
c_bar_erib;Bar-erib;Bar-erib;Bar-erib;;Bar-erib;;;;;;;;;x
c_bar_erib_adj;Bar-erib;;bar-eriber;;;;;;;;;;;x
c_bar_marach;Bar Marach;Bar Marach;Bar Marach;;Bar Marach;;;;;;;;;x
c_bar_marach_adj;Bar Marach;;Bar Maracher;;;;;;;;;;;x
c_barad_annun;Barad Annûn;Barad Annûn;Barad Annûn;;Barad Annûn;;;;;;;;;x
