#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
tomb_of_thorin;Visit the Tomb of Thorin Oakenshield;Se rendre sur la Tombe de Thorin Ecu-de-Chne;;;;;;;;;;;;x
tomb_of_thorin_desc;Go to visit the Tomb of Thorin Oakenshield, the dwarf who died to regain the Arkenstone, the Heart of the Mountain.;;;;;;;;;;;;;x
EVTerebor.1;The Tomb of Thorin;La Tombe de Thorin Ecu-de-Chne;;;;;;;;;;;;x
EVTDESCerebor.1;You decided to visit the Tomb of Thorin Oakenshield, who led the Quest of Erebor before his death on the Batlle of the Five Armies. What will you do?;Vous vous rendez sur la tombe de Thorin Ecu-de-Chne, qui mena l'Expedition d'Erebor avant d'tre tu lors de la Bataille des Cinq Armes. Qu'allez-vous faire?;;;;;;;;;;;;x
EVTOPTAerebor.1;I'll meditate on his fate.;Je vais mditer sur son destin.;;;;;;;;;;;;x
EVTOPTBerebor.1;I could take the Arkenstone;Je pourrais rcuprer l'Arkenstone peut-tre?;;;;;;;;;;;;x
EVTOPTCerebor.1;I could take Orcrist, maybe?;Je pourrais rcuprer Orcrist peut-tre?;;;;;;;;;;;;x
EVTerebor.2;Time of Meditation;Mditation;;;;;;;;;;;;x
EVTDESCerebor.2;You kneel in front of the tomb, and meditate a long time about the fate of Thorin Oakenshield. He was brave, but the Arkenstone made his mind crazy at the end;Vous vous agenouillez face  la tombe de Thorin Ecu-de-Chne, et vous mditez longuement sur son destin. Il tait brave, mais l'Arkenstone a rendu son esprit malade  la fin;;;;;;;;;;;;x
EVTOPTAerebor.2;He could have been a great King;Il aurait pu tre un grand Roi;;;;;;;;;;;;x

EVTDESCdwarveninfertility.2;You just got married, and there is a tradition among your people to take only one spouse during his life. Will you unite your soul to your spouse?;Vous venez de vous marier, et il est de tradition parmi votre peuple de ne prendre qu'une pouse au cours de sa vie. Allez-vous unir votre me  votre conjoint?;;;;;;;;;;;;x
EVTOPTAdwarveninfertility.2;I truly love her!;Je l'aime vraiment.;;;;;;;;;;;;x
EVTOPTBdwarveninfertility.2;This is just a wife.;C'est juste une pouse.;;;;;;;;;;;;x

# surveying for mineral resources

EVTNAMEMEP_JLS.0;Resource Discovered;;;;;;;;;;;;x
EVTDESCMEP_JLS.8;After wandering the land and sampling the rocks found within the earth of [Root.Location.GetName], you've finally found evidence of an abundant source of high-quality iron ore!;;;;;;;;;;;;x
EVTDESCMEP_JLS.6;After wandering the land and sampling the rocks found within the earth of [Root.Location.GetName], you've finally found evidence of a great chamber of magma, lying dormant within a local mountain!;;;;;;;;;;;;x
EVTDESCMEP_JLS.7;After wandering the land and sampling the rocks found within the earth of [Root.Location.GetName], you've finally found evidence of an abundant source of high-quality copper ore!;;;;;;;;;;;;x
EVTDESCMEP_JLS.11;After wandering the land and sampling the rocks found within the earth of [Root.Location.GetName], you've finally found evidence of an abundant source of tin ore!;;;;;;;;;;;;x
EVTDESCMEP_JLS.10;After wandering the land and sampling the rocks found within the earth of [Root.Location.GetName], you've finally found evidence of a potential source of high-quality building stone!;;;;;;;;;;;;x
EVTDESCMEP_JLS.14;After wandering the land and sampling the rocks found within the earth of [Root.Location.GetName], you've finally found evidence of a large vein of gold ore!;;;;;;;;;;;;x
EVTDESCMEP_JLS.13;After wandering the land and sampling the rocks found within the earth of [Root.Location.GetName], you've finally found evidence of a large vein of silver ore!;;;;;;;;;;;;x
EVTDESCMEP_JLS.15;After wandering the land and sampling the rocks found within the earth of [Root.Location.GetName], you've finally found evidence of a large vein of gemstones!;;;;;;;;;;;;x
EVTDESCMEP_JLS.12;After wandering the land and sampling the rocks found within the earth of [Root.Location.GetName], you've finally found evidence of a high-quality source of lapis!;;;;;;;;;;;;x
EVTDESCMEP_JLS.9;After wandering the land and sampling the rocks found within the earth of [Root.Location.GetName], you've finally found evidence of a vast deposit of high-quality salt!;;;;;;;;;;;;x
EVTOPTAMEP_JLS.0;My lord will be pleased.;;;;;;;;;;;;x
EVTNAMEMEP_JLS.1;Survey Successful;;;;;;;;;;;;x
EVTDESCMEP_JLS.18;After wandering the land and sampling the rocks found within the earth of [From.Location.GetName], your loremaster [From.GetFirstName] finally found evidence of an abundant source of high-quality iron ore!;;;;;;;;;;;;x
