#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;ITALIAN;x
ct_MOwatchtower_1;Watchtower;Tour de garde;;;;;x
ct_MOwatchtower_2;Watchtower;Tour de garde;;;;;x
ct_MOwatchtower_3;Watchtower;Tour de garde;;;;;x
ct_MOwatchtower_4;Watchtower;Tour de garde;;;;;x
ct_MOwatchtower_5;Watchtower;Tour de garde;;;;;x
ct_MOwatchtower_6;Watchtower;Tour de garde;;;;;x
ct_MOwatchtower_1_desc;Watchtowers allow more troops to defend the walls.;Des tour de guet permettent à plus de troupe de protéger les murs d'enceinte.;Watchtower;Tour de garde;;;;;x
tp_shrine_melkor;Dark Altar;Temple de Melkor;;;;;;;x;;;;;;;;;
tp_shrine_melkor_desc;The Dark Altar is a cursed place where the faithful of Melkor give an offering to the fire - prisoners, animals, or ancient trees. Thick black smoke is always seen billowing from the temple's roof.;Le Temple de Melkor est un lieu maudit, où les fidèles de Melkor donnent en offrande au feu noir des prisonniers, des animaux, ou des arbres anciens. Une épaisse fumée noire s'échappe du sommet du dôme central du temple.;;;;;;;;;;;;;;;x
;;;;;;;;;;;;;x
